Test MAE,Val MAE,Epoch,Model,Rewire,P,K,seed
0.04665628051757813,0.013969213485717773,100,gvp,k0hop,0.9,5,1
0.04946430206298828,0.030513593673706055,10,gvp,k0hop,0.9,6,1
0.05903822326660156,0.017219364166259767,20,gvp,k0hop,0.9,6,1
0.0670803985595703,0.01555022621154785,30,gvp,k0hop,0.9,6,1
0.08750657653808594,0.015941484451293945,40,gvp,k0hop,0.9,6,1
0.08750657653808594,0.017990203857421876,50,gvp,k0hop,0.9,6,1
0.08750657653808594,0.017282859802246094,60,gvp,k0hop,0.9,6,1
0.08750657653808594,0.014783506393432616,70,gvp,k0hop,0.9,6,1
0.11830880737304687,0.014912178993225098,80,gvp,k0hop,0.9,6,1
0.08592362976074219,0.013791278839111328,90,gvp,k0hop,0.9,6,1
0.1000045166015625,0.013496516227722168,100,gvp,k0hop,0.9,6,1
0.05209172821044922,0.027990629196166992,10,gvp,k0hop,0.9,7,1
0.06153750228881836,0.01922843551635742,20,gvp,k0hop,0.9,7,1
0.0717057876586914,0.015135429382324218,30,gvp,k0hop,0.9,7,1
0.0818398208618164,0.01691801071166992,40,gvp,k0hop,0.9,7,1
0.0818398208618164,0.018996768951416016,50,gvp,k0hop,0.9,7,1
0.0818398208618164,0.01885738945007324,60,gvp,k0hop,0.9,7,1
0.0818398208618164,0.018947731018066405,70,gvp,k0hop,0.9,7,1
0.11601417541503906,0.023227859497070312,80,gvp,k0hop,0.9,7,1
0.11601417541503906,0.014978004455566405,90,gvp,k0hop,0.9,7,1
0.11601417541503906,0.017789737701416015,100,gvp,k0hop,0.9,7,1
0.05079468154907227,0.023087581634521483,10,gvp,k0hop,0.9,8,1
0.05838102722167969,0.022835107803344728,20,gvp,k0hop,0.9,8,1
0.02656711769104004,0.02322357940673828,30,gvp,k0hop,0.9,8,1
0.0295079345703125,0.02059469985961914,40,gvp,k0hop,0.9,8,1
0.0295079345703125,0.02273988342285156,50,gvp,k0hop,0.9,8,1
0.022277412414550782,0.014194818496704101,60,gvp,k0hop,0.9,8,1
0.017286266326904297,0.014467361450195313,70,gvp,k0hop,0.9,8,1
0.019570180892944336,0.013207488059997559,80,gvp,k0hop,0.9,8,1
0.019570180892944336,0.012398576736450196,90,gvp,k0hop,0.9,8,1
0.01691934394836426,0.012224714279174804,100,gvp,k0hop,0.9,8,1
